"紛絲專頁名稱","貼文時間","貼文連結","新聞標題","新聞大綱","LIKE","HAHA","ANGRY","SAD","LOVE","WOW","分享數","留言數","CT Score","貼文內容","原文內容","原文連結","貼文關鍵字","原文關鍵字","重疊字","重疊率"
"中時電子報","2018-5-29 15:36:00","=HYPERLINK(""https://www.facebook.com/CTfans/posts/10155975904672479"")","直播主遭男友砍4刀身亡 黃立成說話了",,"167","1","2","24","0","8","0","6","-1.875","希望不要再有類似悲劇發生了...(#編蝠俠) #直播主 #17直播 #黃立成","人氣App「17直播」26歲邱姓女直播主驚傳遭前男友27歲廖男砍殺4刀身亡，震驚社會，今(29日)稍早17直播發表聲明，表示對邱女不幸逝世的消息，「公司全體人員震驚和悲痛」，也請警方能儘速查明案情，且請大眾放邱女家人安靜生活的空間。邱女28日晚間慘遭廖男砍殺，邱喬琪中4刀，倒臥在浴室，送醫搶救後仍不治。她所加入的「17直播」由3年前黃立成創辦「17 Media」創建，今年春酒記者會上，黃立成透露年營業額超過10億，旗下所擁有的直播主多達4千人，比去年多出16倍，黃立成也在春酒上大方送出頭獎價值300萬的直升機，可見公司營收不錯，如今傳出悲劇，令人不勝唏噓。17 Media Taiwan聲明如下：今（29日）台灣直播主遭男友殺害的新聞令公司全體人員震驚和悲痛。邱小姐在直播中開朗、活潑的一面，曾為許多粉絲帶來正向力量，在工作中展現也投入非凡的能量和熱情，為觀眾創造許多美好的回憶，她的熱情與精神將延續社會中仍有的美好！促請相關警調單位儘速查明案情，還給邱小姐家人安靜的生活空間，呼籲社會大眾尊重生命。(中時電子報)","=HYPERLINK(""http://www.chinatimes.com/realtimenews/20180529002393-260404"")","[""直播"",""類似"",""悲劇"",""黃立成"",""17"",""發生"",""希望""]","[""直播"",""17"",""黃立成"",""社會"",""邱女"",""震驚"",""砍殺"",""29"",""大眾"",""儘速"",""Media"",""安靜"",""廖男"",""熱情"",""空間"",""聲明"",""人員"",""春酒"",""案情"",""悲痛"",""查明"",""美好"",""小姐"",""家人"",""不幸逝世"",""前男友"",""活潑"",""殺害"",""不錯"",""電子報"",""晚間"",""新聞"",""創辦"",""搶救"",""頭獎"",""28"",""悲劇"",""開朗"",""還給"",""10"",""邱姓女"",""帶來"",""展現"",""超過"",""慘遭"",""創建"",""驚傳"",""擁有"",""創造"",""警調"",""價值"",""觀眾"",""延續"",""27"",""傳出"",""粉絲"",""台灣"",""App"",""倒臥"",""相關"",""促請"",""直升機"",""26"",""送醫"",""發表"",""人氣"",""多達"",""不勝唏噓"",""16"",""回憶"",""Taiwan"",""營業額"",""單位"",""營收"",""記者會"",""300"",""呼籲"",""公司"",""不治"",""在工作中"",""稍早"",""浴室"",""千人"",""生活"",""男友"",""送出"",""身亡"",""正向"",""多出"",""大方"",""非凡"",""警方"",""尊重"",""能量"",""旗下"",""生命"",""透露"",""投入"",""精神"",""力量"",""去年"",""消息""]","[""直播"",""悲劇"",""黃立成"",""17""]","57.099999999999994%"
"中時電子報","2018-5-28 20:00:01","=HYPERLINK(""https://www.facebook.com/CTfans/posts/10155974091152479"")","校花直播主遭粉絲姦殺 家人24小時後發現崩潰",,"257","1","61","9","0","29","2","7","-1.065574","怎麼會有這樣的粉絲😧人家好好的一個女生，就這麼被毀了...(#編蝠俠) #校花 #直播主 #性侵","大陸一名直播主近日遭到殺害，陳屍在家中24小時才被發現，讓家人相當崩潰，而警方追查後發現兇手竟是她的粉絲，不知從什麼管道得知她家住址，潛入後殺害，目前全案在偵辦中。這名外型甜美的直播主，學生時期就是校花，近年開始當起網路直播主，日前她遭潛入家中粉絲殺害，因為村民發現兇手形跡可疑，走路要拄著拐杖走，手臂上還有抓痕，因此上前關心，但對方講話語無倫次，因此趕緊報警，才能及時將他制伏。而這起案件還在偵辦中，不過消息也在網路流傳開來，有網友透露直播主是被性侵後殺害，而她死亡1天後才被二嬸發現慘狀，讓家人相當崩潰痛哭。(中時電子報)","=HYPERLINK(""http://www.chinatimes.com/realtimenews/20180528002616-260404"")","[""粉絲"",""性侵"",""校花"",""直播"",""女生"",""好好""]","[""殺害"",""發現"",""直播"",""粉絲"",""潛入"",""兇手"",""崩潰"",""網路"",""偵辦"",""家人"",""抓痕"",""全案"",""學生"",""陳屍"",""電子報"",""報警"",""性侵"",""趕緊"",""慘狀"",""語無倫次"",""時期"",""關心"",""網友"",""講話"",""大陸"",""形跡"",""24"",""小時"",""流傳開"",""校花"",""制伏"",""外型"",""住址"",""甜美"",""追查"",""可疑"",""拐杖"",""她家"",""痛哭"",""手臂"",""近年"",""走路"",""竟是"",""管道"",""警方"",""村民"",""在家"",""上前"",""得知"",""案件"",""死亡"",""一名"",""日前"",""透露"",""近日"",""消息""]","[""粉絲"",""性侵"",""校花"",""直播""]","66.7%"
"中時電子報","2018-5-30 14:24:01","=HYPERLINK(""https://www.facebook.com/CTfans/posts/10155977741347479"")","17直播主命案！曾陷閨密命案的她：仇女心態無藥可醫",,"45","0","4","0","0","1","0","4","-7.222222","實際上到底是怎麼一回事？想必沒有人能加以評論 #直播主命案 #仇女心態 #無藥醫 (#嘴編肉)","北市《17》直播主邱喬琪，遭前男友廖晏霆砍殺身亡，廖嫌行兇前一晚將大頭照換成不露臉暗黑照，將感情關係改成「喪偶」，讓人懷疑早有預謀，引起不少網友正反兩面議論，痛批兇嫌冷血，死者堂姊也發文質疑，廖嫌疑「打點」大樓保全，導致堂妹的行蹤全被掌握，在臉書痛批：「爛咖一枚！」針對這起情殺案，去年初曾捲入閨密陳姓小模姦殺命案、被誤會是同夥的「蛇蠍閨密」梁思惠（梁絲繐），也在臉書有感而發痛批：「很多男生在一起前各種溫柔體貼，還以為自己遇到了暖男，誰知道在一起後本性開始露出來，變超渣廢物。沒有人這麼無聊想讓自己被傷害，看起來文質彬彬的人，也有可能會使用暴力，長的憨厚老實的人，也有可能會劈腿，這些仇女心態的酸民真的無藥醫，只會在那邊講風涼話！」(中時電子報)","=HYPERLINK(""http://www.chinatimes.com/realtimenews/20180530001594-260402"")","[""心態"",""無藥醫"",""評論"",""命案"",""直播"",""想必"",""一回""]","[""痛批"",""在一起"",""臉書"",""閨密"",""同夥"",""北市"",""前男友"",""堂妹"",""前一晚"",""冷血"",""議論"",""情殺案"",""蛇蠍"",""砍殺"",""質疑"",""小模"",""發文"",""爛咖"",""誤會"",""兇嫌"",""廢物"",""老實"",""堂姊"",""行蹤"",""17"",""懷疑"",""無藥醫"",""無聊"",""姦殺"",""傷害"",""風涼話"",""大頭照"",""大樓"",""有感而發"",""酸民"",""劈腿"",""溫柔"",""暖男"",""文質彬彬"",""體貼"",""電子報"",""導致"",""行兇"",""捲入"",""廖嫌"",""預謀"",""網友"",""心態"",""換成"",""露出來"",""喪偶"",""陳姓"",""露臉"",""打點"",""關係"",""去年初"",""暗黑"",""使用暴力"",""正反"",""憨厚"",""命案"",""男生"",""直播"",""嫌疑"",""身亡"",""改成"",""保全"",""本性"",""一枚"",""死者"",""感情"",""真的""]","[""心態"",""無藥醫"",""命案"",""直播""]","57.099999999999994%"
