Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
China Times,1310489,2018-04-26 21:48:00 SGT,Link,8267,301,259,157,119,339,15,14,0,,0,0,0,https://www.facebook.com/CTfans/posts/10155903960912479,一噸耶 😱 (#正編) 更多生活新聞就在👉http://www.chinatimes.com/life/,http://www.chinatimes.com/realtimenews/20180426004116-260405,,8台人走私一噸冰毒被判死刑 網：感謝印尼為台灣除害！,,,,9471.0
China Times,1310399,2018-04-25 23:00:01 SGT,Link,2925,343,508,8,93,548,8,664,0,,0,0,0,https://www.facebook.com/CTfans/posts/10155901955807479,這根本是偷竊行為啊!!!🙄🙄(#媚娘) #教育部長 #吳茂昆 #生技公司,http://www.chinatimes.com/realtimenews/20180425004742-260405,,吳茂昆私授校方專利 東華大學發重話：不撤銷法院見！,,,,5097.0
China Times,1310399,2018-04-25 19:55:35 SGT,Link,4015,57,78,26,211,87,18,3,0,,0,0,0,https://www.facebook.com/CTfans/posts/10155901633967479,親筆遺囑曝光了!!😲😲(#媚娘) #李敖 #李戡 #李文爭產,http://www.chinatimes.com/realtimenews/20180425004243-260404,,李敖逝世37天後親筆遺囑首公開 「李文爭產」早有防範,,,,4495.0
China Times,1310399,2018-04-25 21:49:00 SGT,Link,3007,49,10,44,9,20,0,1,0,,0,0,0,https://www.facebook.com/CTfans/posts/10155901824292479,超喜歡這對CP組合~要幸福唷💕💕(#媚娘) #李燕 #趙駿亞 #交往,http://www.chinatimes.com/realtimenews/20180425004577-260404,,李燕、趙駿亞十指緊扣被抓包！經紀人證實交往,,,,3140.0
China Times,1310399,2018-04-26 08:30:01 SGT,Link,2229,118,216,6,20,88,87,24,0,,0,0,0,https://www.facebook.com/CTfans/posts/10155902963637479,警政署長：「如果年改有更好，他們怎麼會走上街頭？」 #軍公教年改 #警政署長 #八百壯士 #陳家欽 #柯林吐司,http://www.chinatimes.com/newspapers/20180426000569-260118,,警政署長直言 年改若更好 怎會上街頭,,,,2788.0
China Times,1310399,2018-04-25 15:22:08 SGT,Live Video Complete,1145,1067,298,83,18,12,14,48,0,original,20560,38182,0,https://www.facebook.com/CTfans/posts/10155901246942479,反年改抗爭再起！八百壯士今晚號召萬人攻佔立法院、燒棺 【反年改抗爭再起！八百壯士帶油壓剪備汽油 被警方代為保管】 https://goo.gl/LN7PPk:=:http://www.chinatimes.com/realtimenews/20180425001787-260402,https://www.facebook.com/CTfans/videos/10155901246942479/,,,,,,2685.0
China Times,1310489,2018-04-26 23:47:00 SGT,Link,1904,117,123,7,30,181,9,286,0,,0,0,0,https://www.facebook.com/CTfans/posts/10155903976332479,小編很好奇，為什麼卡管卡成這樣？到底後面有什麼原因？ (#正編) 更多生活新聞就在👉http://www.chinatimes.com/life/,http://www.chinatimes.com/realtimenews/20180426004058-260405,,遭爆管案認定「遴選瑕疵」 台大教授：那就請教育部面臨法律挑戰,,,,2657.0
China Times,1310489,2018-04-26 17:00:01 SGT,Link,682,308,155,2,73,129,17,1123,0,,0,0,0,https://www.facebook.com/CTfans/posts/10155903632352479,消息來源直言，管中閔無「法」勝任台大校長一職，教育部駁回管的聘任案幾已成定局 (#正編) 更多生活新聞就在👉http://www.chinatimes.com/life/,http://www.chinatimes.com/realtimenews/20180426002965-260405,,拔管拔定了？ 教部將以遴選瑕疵駁回管中閔聘任案,,,,2489.0
China Times,1310399,2018-04-25 10:24:00 SGT,Link,1847,46,73,4,59,166,1,2,0,,0,0,0,https://www.facebook.com/CTfans/posts/10155900808767479,跟談戀愛一樣，失去了才懂得珍惜？(#柯林吐司) #李紀珠 #新光金 更多財經新聞就在👉http://www.chinatimes.com/money/,http://www.chinatimes.com/realtimenews/20180425001351-260410,,李紀珠被大金控上億年薪挖角？新光金慌了做這事,,,,2198.0
China Times,1310489,2018-04-26 11:36:00 SGT,Link,1199,304,246,7,22,324,7,50,0,,0,0,0,https://www.facebook.com/CTfans/posts/10155903330867479,若兩岸因台獨爆發衝突，你願意自己或親人為台獨而戰嗎？(#柯林吐司) #台獨戰爭 #兩岸軍事,http://www.chinatimes.com/realtimenews/20180426001793-260407,,台獨發生戰爭 七成七民眾反對親人為台獨而戰,,,,2159.0
